190,189,127,Green
194,176,120,Beige
198,166,100,yellow
229,190,1,yellow
205,164,52,yellow
169,131,7,yellow
228,160,16,yellow
220,156,0, yellow
138,102,66,beige
199,180,70,yellow
234,230,202,white
225,204,79,Ivory
230,214,144,Light ivory
237,255,33,yellow
245,208,51,yellow
248,243,53,yellow
158,151,100,Grey beige
153,153,80,yellow
243,218,11,yellow
250,210,1,yellow
174,160,75,yellow
255,255,0,yellow
157,145,1,Curry
244,169,0,yellow
214,174,1,yellow
243,165,5,yellow
239,169,74,yellow
106,93,77,beige
112,83,53,gold
243,159,24,Sun yellow
237,118,14,Yellow orange
201,60,32,Red orange
203,40,33,Vermilion
255,117,20,orange
244,70,17,orange
255,35,1,orange
255,164,32,bright orange
247,94,37,red orange
245,64,33,orange
216,75,32,orange
236,124,38,orange
235,106,14,orange
195,88,49,orange
175,43,30,red
165,32,25,red
162,35,29,ed
155,17,30,red
117,21,30,Purple red
94,33,41,red
65,34,39,red
100,36,36,red
120,31,25,red
193,135,107,Beige red
161,35,18,red
211,110,112,pink
234,137,154,Light pink
179,40,33,red
230,50,68,Rose
213,48,50,red
204,6,5,red
217,80,48,pink
248,0,0,red
254,0,0,bright red
197,29,52,red
203,50,52,red
179,36,40,red
114,20,34,red
180,76,67,pink
109,63,91,Red
146,43,62,violet
222,76,138,violet
110,28,52, violet
108,70,117,Blue 
160,52,114,purple
74,25,44,violet
144,70,132,violet
164,125,144,violet
215,45,109,Telemagenta
134,115,161,violet
108,104,129,Pearl black berry
42,46,75,blue
31,52,56,Green blue
32,33,79,blue
29,30,51,Saphire blue
24,23,28,blue
30,45,110,blue
62,95,138,blue
38,37,45,blue
2,86,105,blue
14,41,75,blue
35,26,36,blue
59,131,189,Light blue
37,41,74,blue
96,111,140,blue
34,113,179,Sky blue
6,57,113,blue
63,136,143,blue
27,85,131,blue
29,51,74,Ocean blue
37,109,123,blue
37,40,80,blue
73,103,141,blue
93,155,155,blue
42,100,120,blue
16,44,84,blue
49,102,80,green
40,114,51,green
45,87,44,green
66,70,50,green
31,58,61,Blue green
47,69,56,green
62,59,50,olive
52,59,41,green
57,53,42,green
49,55,43,green
53,104,45,green
88,114,70,green
52,62,64,Black green
108,113,86,Red green
71,64,46,Yellow olive
59,60,54,Black olive
30,89,69,green
76,145,65,green
87,166,57,Yellow green
189,236,182,green
46,58,35,green
137,172,118,green
37,34,27,Olive 
48,132,70,green
61,100,45,green
1,93,82,green
132,195,190,Light green
44,85,69,green
32,96,61,green
49,127,67,green
73,126,118,turquoise
127,181,181,turquoise
28,84,45,green
22,53,55,green
0,143,57,green
0,187,45,green
120,133,139,grey
138,149,151,grey
126,123,82,grey
108,112,89,grey
150,153,146,grey
100,107,99,grey
109,101,82,grey
106,95,49,grey
77,86,69,grey
76,81,74,grey
67,75,77,grey
78,87,84,grey
70,69,49,Brown grey
67,71,80,grey
41,49,51,grey
35,40,43,Black grey
51,47,44,grey
104,108,94,grey
71,74,81,grey
47,53,59,grey
139,140,122,grey
71,75,78,Blue grey
184,183,153,grey
125,132,113,grey
143,139,102,Yellow grey
203,208,204,Light grey
127,118,121,grey
125,127,120,grey
195,195,195,grey
108,105,96,grey
157,161,170,grey
141,148,141,grey 
78,84,82,grey 
202,196,176,grey
144,144,144,grey 
130,137,143,grey 
208,208,208,grey 
137,129,118,grey
130,108,52,Green brown
149,95,32,brown
108,59,42,brown
115,66,34,Clay brown
142,64,42,brown
89,53,31,brown
111,79,40,Olive brown
91,58,41,brown
89,35,33,Red brown
56,44,30,brown
99,58,52,brown
76,47,39,brown
69,50,46,brown
64,58,58,brown
33,33,33,Black brown
166,94,46,Orange brown
121,85,61,Beige brown
117,92,72,brown
78,59,49,brown
118,60,40,Pearl copper
250,244,227,Cream
231,235,218,Grey white
244,244,244,white
40,40,40,black
10,10,13,black
165,165,165,White
143,143,143,Grey 
255,255,255,white
28,28,28,black
246,246,246,white
30,30,30,black
207,211,205,white
156,156,156,grey
130,130,130, grey
